text,label,type
对于屏幕显示，我没法不觉得高效。,Positive,双重否定
这部电影太狗血了。,Negative,简单句
很难说快递小哥是不负责的。,Positive,双重否定
这牛排真嫩，咬都咬不动。,Negative,反讽
这款手机很清晰。,Positive,简单句
对于自助餐，我没法不觉得干净。,Positive,双重否定
App不是不流畅。,Positive,双重否定
虽然客服有点推卸责任，但整体还是挺专业的。,Positive,转折(正)
我不否认特效很震撼。,Positive,双重否定
客服很热情。,Positive,简单句
这款手机太卡顿了。,Negative,简单句
虽然这个算法很灵敏，可是太总是闪退了，无法接受。,Negative,转折(负)
虽然导游有点业余，但整体还是挺热情的。,Positive,转折(正)
很难说网速是不智能的。,Positive,双重否定
虽然演员演技很紧凑，可是太尴尬了，无法接受。,Negative,转折(负)
虽然装修队很准时，可是太敷衍了，无法接受。,Negative,转折(负)
虽然导游很负责，可是太马虎了，无法接受。,Negative,转折(负)
柜台服务太推卸责任了。,Negative,简单句
柜台服务太敷衍了。,Negative,简单句
这牛排真嫩，咬都咬不动。,Negative,反讽
虽然结局很深刻，可是太五毛钱了，无法接受。,Negative,转折(负)
虽然这本小说很震撼，可是太俗套了，无法接受。,Negative,转折(负)
虽然结局很精彩，可是太无聊了，无法接受。,Negative,转折(负)
真是谢谢你全家。,Negative,反讽
特效太无聊了。,Negative,简单句
屏幕显示很高效。,Positive,简单句
对于外卖，我没法不觉得正宗。,Positive,双重否定
装修队太业余了。,Negative,简单句
我不否认保洁阿姨很准时。,Positive,双重否定
这服务真是太‘棒’了，等了两个小时。,Negative,反讽
真是良心商家，涨价还减量。,Negative,反讽
很难说烧烤是不干净的。,Positive,双重否定
虽然外卖很正宗，可是太难吃了，无法接受。,Negative,转折(负)
很难说快递小哥是不负责的。,Positive,双重否定
客服很耐心。,Positive,简单句
App太弱智了。,Negative,简单句
海鲜很美味。,Positive,简单句
这道牛排很正宗。,Positive,简单句
我不否认导游很热情。,Positive,双重否定
虽然客服很细心，可是太马虎了，无法接受。,Negative,转折(负)
老板真大方，年终奖发了一箱空气。,Negative,反讽
虽然柜台服务很准时，可是太马虎了，无法接受。,Negative,转折(负)
虽然火锅底料很嫩滑，可是太油腻了，无法接受。,Negative,转折(负)
对于柜台服务，我没法不觉得热情。,Positive,双重否定
虽然这款手机很高效，可是太发烫了，无法接受。,Negative,转折(负)
系统太模糊了。,Negative,简单句
虽然售后很细心，可是太拖延了，无法接受。,Negative,转折(负)
虽然这部电影有点俗套，但整体还是挺精彩的。,Positive,转折(正)
真是天才的设计，人类完全没法用。,Negative,反讽
外卖很正宗。,Positive,简单句
老板真大方，年终奖发了一箱空气。,Negative,反讽
快递小哥很热情。,Positive,简单句
虽然这道牛排很新鲜，可是太油腻了，无法接受。,Negative,转折(负)
这服务真是太‘棒’了，等了两个小时。,Negative,反讽
这牛排真嫩，咬都咬不动。,Negative,反讽
虽然电池续航很清晰，可是太模糊了，无法接受。,Negative,转折(负)
客服太马虎了。,Negative,简单句
火锅底料很美味。,Positive,简单句
自助餐不得不说是干净的。,Positive,双重否定
装修队很负责。,Positive,简单句
这手机续航真强，充电两小时通话五分钟。,Negative,反讽
虽然背景音乐有点拖沓，但整体还是挺震撼的。,Positive,转折(正)
App不得不说是流畅的。,Positive,双重否定
虽然导游很专业，可是太敷衍了，无法接受。,Negative,转折(负)
海鲜太难吃了。,Negative,简单句
虽然结局有点无聊，但整体还是挺精彩的。,Positive,转折(正)
虽然导游有点推卸责任，但整体还是挺耐心的。,Positive,转折(正)
虽然背景音乐很紧凑，可是太俗套了，无法接受。,Negative,转折(负)
这本小说太狗血了。,Negative,简单句
演员演技太五毛钱了。,Negative,简单句
快递小哥太马虎了。,Negative,简单句
虽然剧情很精彩，可是太俗套了，无法接受。,Negative,转折(负)
虽然导游有点粗鲁，但整体还是挺热情的。,Positive,转折(正)
这本小说不是不逼真。,Positive,双重否定
人脸识别不得不说是高效的。,Positive,双重否定
App很灵敏。,Positive,简单句
对于App，我没法不觉得清晰。,Positive,双重否定
快递小哥很热情。,Positive,简单句
虽然这款手机有点迟钝，但整体还是挺高效的。,Positive,转折(正)
虽然结局有点尴尬，但整体还是挺震撼的。,Positive,转折(正)
自助餐很正宗。,Positive,简单句
对于网速，我没法不觉得高效。,Positive,双重否定
这代码写得真艺术，完全看不懂。,Negative,反讽
很难说火锅底料是不新鲜的。,Positive,双重否定
对于客服，我没法不觉得耐心。,Positive,双重否定
对于屏幕显示，我没法不觉得流畅。,Positive,双重否定
虽然网速有点模糊，但整体还是挺耐用的。,Positive,转折(正)
保洁阿姨太拖延了。,Negative,简单句
对于甜点，我没法不觉得干净。,Positive,双重否定
